Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
soap-dish-vhs-rental-comedy,Soap Dish,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,95273978,,,,comedy
the-bridges-of-medison-county-vhs-rental-drama,The Bridges of Medison County,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,95110138,,,,drama
murphys-fault-vhs-rental-comedy,Murphy's Fault,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,94979066,,,,comedy
soldiers-fortune-vhs-rental-action,Soldier's Fortune,,VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,35800058,,,,action
sleeping-beauty-1989-vhs-rental-kids-family,Sleeping Beauty (1989),,VHS,Media > Videos,"Rental, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,35701754,,,,kids-family
dragonfight-vhs-rental-action,DragonFight,,VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,35570682,,,,action
salvador-vhs-rental-drama,Salvador,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,35308538,,,,drama
dying-to-get-rich-vhs-rental-comedy,Dying to Get Rich,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,35275770,,,,comedy
the-butterfly-effect-collection-dvd-rental-sci-fi,The Butterfly Effect Collection,,DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,41764090,,,,sci-fi
baby-mana-dvd-rental-comedy,Baby Mama,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,41501946,,,,comedy
sherlock-holmes-dvd-rental-action,Sherlock Holmes,,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,41370874,,,,action
say-anthing-dvd-rental-romantic-comedy,Say Anthing,,DVD,Media > Videos,"Rental, DVD, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,0,40944890,,,,romantic-comedy
defiance-dvd-rental-action,Defiance,,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,40617210,,,,action
the-losers-bluray-rental-action,The Losers,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,48156922,,,,action
the-way-back-bluray-rental-comedy,The Way Back,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,47993082,,,,comedy
fantasic-beasts-the-crimes-of-grindelwald-bluray-rental-fantasy,Fantasic Beasts The Crimes of Grindelwald,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,0,30323194,,,,fantasy
casino-royale-bluray-rental-action,Casino Royale,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,29798906,,,,action
