Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Rental Availability (product.metafields.scf.avf),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
in-search-of-the-dragon-vhs-floor-sale-documentary,In Search of the Dragon,"<p>Follows the story of a handicapped street musician, Maurice Chan, as he explains what life is like for him in Hong Kong. In the process we go on a journey back in time to the Walled City of Kowloon.  Once dubbed the 'sleaziest' place in Hong Kong, it was an island of Chinese sovereignty within the British colony. As a result of a secret political compromise between the Chinese and British Governments the Walled City was destroyed in 1992. This decision resulted in the displacement of the Walled City's 40,000 residents. The documentary gives the story of modern day Hong Kong from a personal viewpoint and shows historical links to a place the authorities preferred to forget.</p>",VHS,Media > Videos,,"Documentary, Floor Sale, Formatted, VHS",true,Genre,Documentary,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,false,false,,,,,35139578,,,,false,,,,,,,,,,,,,,documentary,,,,,,,,,,,,,,lb,,,active
pirates-of-the-caribbean-4-movie-collection-bluray-floor-sale-action,Pirates of the Caribbean - 4 Movie Collection,<p>A collection of the first four Pirates of the Caribbean swashbuckling fantasy films starring Johnny Depp as Captain Jack Sparrow.</p>,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,false,false,,,,,43629562,,,,false,,,,,,,,,,,,,,action,,,,,,,,,,,,,,lb,,,active
richard-pryor-triple-feature-bluray-floor-sale-comedy,Richard Pryor Triple Feature,"<p>A triple feature pairing See No Evil, Hear No Evil, Stir Crazy, and The Toy, three comedies starring Richard Pryor.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Comedy, Floor Sale, Formatted",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,false,false,,,,,08717818,,,,false,,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,lb,,,active
triple-feature-v-for-vendetta-bluray-floor-sale-action,Triple Feature: V for Vendetta +,"<p>A triple feature pairing V for Vendetta (2005), Watchmen (2009), and Constantine (2005), dystopian and supernatural graphic-novel adaptations.</p>",Blu-Ray,Media > Videos,,"Action, Blu-Ray, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,false,false,,,,,10752506,,,,false,,,,,,,,,,,,,,action,,,,,,,,,,,,,,lb,,,active
star-trek-2-disc-special-edition-bluray-floor-sale-sci-fi,Star Trek: 2 Disc Special Edition,,Blu-Ray,Media > Videos,,"Blu-Ray, Floor Sale, Formatted, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,false,false,,,,,10654202,,,,false,,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,lb,,,active
tron-legacy-tron-the-original-classic-bluray-floor-sale-sci-fi,Tron Legacy / Tron: The Original Classic,"<p>A double feature pairing Tron (1982) with its sequel Tron: Legacy (2010), sci-fi films set inside a digital computer world.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Floor Sale, Formatted, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,false,false,,,,,67359738,,,,false,,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,lb,,,active
star-wars-iv-v-vi-bluray-floor-sale-sci-fi,"Star Wars: IV, V, VI",,Blu-Ray,Media > Videos,,"Blu-Ray, Floor Sale, Formatted, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,16.00,,false,false,,,,,28783866,,,,false,,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,lb,,,active
where-the-wild-things-are-the-neverending-story-bluray-floor-sale-kids-family,Where the Wild Things Are / The Neverending Story,"<p>A double feature pairing Where the Wild Things Are (2009) and The NeverEnding Story (1984), fantasy adventure films.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Floor Sale, Formatted, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,false,false,,,,,28128506,,,,false,,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,lb,,,active
harry-potter-complete-8-film-collection-bluray-floor-sale-kids-family,Harry Potter: Complete 8-Film Collection,"<p>The complete 8-film Harry Potter collection based on J.K. Rowling's novels, following Harry Potter's journey through Hogwarts and his battle against Lord Voldemort.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Floor Sale, Formatted, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,42.00,,false,false,,,,,76879354,,,,false,,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,lb,,,active
the-ice-house-dvd-floor-sale-drama,The Ice House,,DVD,Media > Videos,,"Drama, DVD, Floor Sale, Formatted",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,75339258,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/oPtSbxlxg5y6iWHQ7ik2BqawXbU.jpg?v=1788290141,1,The Ice House (1916) poster,false,,,,,,,,,,,,,,drama,,,,,,,,,,,,,,lb,,,active
lincon-and-lee-at-antietam-dvd-floor-sale-documentary,Lincon and Lee at Antietam,,DVD,Media > Videos,,"Documentary, DVD, Floor Sale, Formatted",true,Genre,Documentary,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,false,false,,,,,58455802,,,,false,,,,,,,,,,,,,,documentary,,,,,,,,,,,,,,lb,,,active
the-little-mermaid-3-movie-collection-bluray-floor-sale-kids-family,The Little Mermaid (3 Movie Collection),"<p>The Little Mermaid: 3-Movie Collection gathers Disney's The Little Mermaid (1989) with its sequels/prequels, following the mermaid princess Ariel.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Floor Sale, Formatted, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,false,false,,,,,98875642,,,,false,,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,lb,,,active
9-to-5-vhs-floor-sale-comedy,9 to 5,<p>A contemporary remake of the 1980 classic about three female office employees who decide to take revenge against their rude and sexist boss.</p>,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,30966778,,,,false,,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,lb,,,active
187-vhs,187,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,false,false,,,,,21242874,,,,false,,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,lb,,,active
