title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
The Dunera Boys,,At the start of WWII the British Government decided to arrest all Germans in the UK no matter how long they had been there. Among those arrested were many Jewish refugees and many who were fully assimilated. This film records the story of a group who were sent to a POW camp in Australia aboard the Dunera.,,,,,,"VHS, drama",,,0.00,,,,,1,96027642,,,,,,,,
Smart Money,,,,,,,,"VHS, drama",,,0.00,,,,,1,95994874,,,,,,,,
The Heart of Me,,"Drama set in 1930s London with two sisters, Madeleine married to Rickie, and Dinah, who falls in love with him. Rickie and Dinah begin an affair which is to have repercussions throughout all their lives.",,,,,,"VHS, drama",,,0.00,,,,,1,95962106,,,,,,,,
Wish You Were Dead,,"Two bad women fight over one man in a back-stabbing, money-grabbing, insurance-hustling, double-dealing, two-timing caper.",,,,,,"VHS, comedy",,,0.00,,,,,1,95667194,,,,,,,,
Hope and Glory,,A middle-aged man recalls his childhood growing up in and around London during World War II.,,,,,,"VHS, drama",,,0.00,,,,,1,95634426,,,,,,,,
Mussolini and I,,,,,,,,"VHS, drama",,,0.00,,,,,1,95601658,,,,,,,,
We're Talkin' Serious Money,,"When a pair of misfits loses a New York mobster's money, they flee to Los Angeles, where a compromising video of powerful senators falls into their lap.",,,,,,"VHS, comedy",,,0.00,,,,,1,95568890,,,,,,,,
Easy Money,,,,,,,,"VHS, comedy",,,0.00,,,,,1,95536122,,,,,,,,
Year of the Comet,,An auctioneer's daughter and a rich buyer's emissary fall for each other while trying to keep a rare wine out of the hands of evil doers.,,,,,,"VHS, action",,,0.00,,,,,1,95470586,,,,,,,,
For Keeps,,"Young high school couple Darcy Elliot and Stan Bobrucz are one year from graduation, with promising futures ahead of them. But their paths take a drastic turn when Darcy becomes pregnant. Unwilling to go through an abortion or an adoption — despite their parents' pleas — Darcy and Stan decide to sacrifice their college experiences and degrees in order to keep and raise the baby. After a quick marriage, the two realize it won't be as easy as they thought.",,,,,,"VHS, romantic-comedy",,,0.00,,,,,1,95437818,,,,,,,,
Extreme Days,,"As four lifelong friends, Will, Bryan, Matt, and Corey, are on the road trip they've been planning their whole lives, Corey's beloved grandfather unexpectedly dies. When going to claim Corey's inheritance, the gang meets Matt's beautiful cousin Jessie and embark on a hilarious, extreme sports-filled adventure.",,,,,,"VHS, kids-family",,,0.00,,,,,1,95372282,,,,,,,,
Working Girl,,,,,,,,"VHS, comedy",,,0.00,,,,,1,95339514,,,,,,,,
A Fool and His Money,,,,,,,,"VHS, romantic-comedy",,,0.00,,,,,1,95306746,,,,,,,,
Soap Dish,,,,,,,,"VHS, comedy",,,0.00,,,,,1,95273978,,,,,,,,
Doom Runners,,"In a post-apocalyptic world, a group of children move from one uncertain world to another in their quest for sanctuary.",,,,,,"VHS, sci-fi",,,0.00,,,,,1,95241210,,,,,,,,
Pure Country,,"Dusty Chandler is a super star in the country music world, but his shows have the style of a '70s rock concert. One day he takes a walk - out of his overdone concerts to find his real country roots. He's helped and hindered by friends and staff, but pushes on in his search for a real music style as well as a real romance.",,,,,,"VHS, drama",,,0.00,,,,,1,95208442,,,,,,,,
"He Said, She Said",,"Womanising, right-wing Dan Hanson and quiet, liberal Lorie Bryer work for the Baltimore Sun. Rivals for the job of new writer of a vacant column, the paper ends up instead printing their very different opinions alongside each other, which leads to a similarly combative local TV show. At the same time their initial indifference to each other looks like it may evolve into something more romantic.",,,,,,"VHS, romantic-comedy",,,0.00,,,,,1,95175674,,,,,,,,
The Bridges of Medison County,,,,,,,,"VHS, drama",,,0.00,,,,,1,95110138,,,,,,,,
Eight Days a Week,,"Peter loves his next door neighbour Erica and, on the advice of his grandfather, decides to camp out on her front lawn for the entire summer, or until she agrees to go out with him. His father is none too happy about the idea and refuses to let his son back in the house, even to get a change of clothes.",,,,,,"VHS, comedy",,,0.00,,,,,1,95077370,,,,,,,,
Solo,,"An android fighting-machine is charged with destroying a small brigade of rebels in a Latin American war who are fighting to maintain their freedom and protect their village. Contrary to his programming, Peebles decides to stay and assist the rebels in their plight. Having gained this information, his ""creators"" develop a more powerful android to try and defeat him.",,,,,,"VHS, action",,,0.00,,,,,1,95044602,,,,,,,,
Redwood Curtain,,"Geri Riordan is adopted, half-Vietnamese, eighteen, and a piano prodigy. She also feels as if she doesn't know who she really is, and when her adopted father dies, she begins to search for her biological father.",,,,,,"VHS, drama",,,0.00,,,,,1,95011834,,,,,,,,
Murphy's Fault,,,,,,,,"VHS, comedy",,,0.00,,,,,1,94979066,,,,,,,,
Educating Rita,,"Rita, a witty 26-year-old hairdresser, wants to 'discover' herself, so she joins the Open University where she meets the disillusioned professor of literature, Dr. Frank Bryant. His marriage has failed, his new girlfriend is having an affair with his best friend and he can't get through the day without downing a bottle or two of whisky. What Frank needs is a challenge... and along comes Rita.",,,,,,"VHS, romantic-comedy",,,0.00,,,,,1,35931130,,,,,,,,
Ed's Next Move,,"Ed lives in Wisconsin. He's just been dumped by his girlfriend, so he moves to New York City for a big change...but will he ever find love again? He loves his new job studying the genetics of different strains of rice. Then Ed meets Lee, a quirky singer. She's just what Ed thinks he's looking for, and she's available...or is she?",,,,,,"VHS, romantic-comedy",,,0.00,,,,,1,35865594,,,,,,,,
A Saintly Switch,,"The story is about a married couple with children on the verge of divorce. Their imminent divorce, like many, is due to their mutual lack of respect and compassion for each other and the effect it has on their children. When the family makes a traumatic move to New Orleans they move into an old, Victorian home. There, in the attic, the children think they have found the ""magic"" to solve their parent's problems. The children accidentally manage to switch the souls of their parents. Now the wife must face the perils of the lockeroom and pressures as family breadwinner and the husband must face pregnancy and bond with his children. Newfound respect and appreciation is gained as the couple finally find out what it's like to walk in the other person's shoes.",,,,,,"VHS, comedy",,,0.00,,,,,1,35832826,,,,,,,,
Soldier's Fortune,,,,,,,,"VHS, action",,,0.00,,,,,1,35800058,,,,,,,,
