Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dances-with-wolves-vhs-floor-sale-drama,Dances with Wolves,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,17582074,,,,false,,,,,,,,,,lb,,,active
das-boot-directors-cut-vhs-rental-drama,Das Boot: Directors Cut,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26529018,,,,false,,,,,,,,,,lb,,,active
dave-vhs-floor-sale-comedy,Dave,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,79808506,,,,false,,,,,,,,,,lb,,,active
dead-poets-society-vhs-floor-sale-drama,Dead Poets Society,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,64866298,,,,false,,,,,,,,,,lb,,,active
death-wise-the-face-of-death-vhs-rental-action,Death Wise The Face of Death,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79397370,,,,false,,,,,,,,,,lb,,,active
death-wish-1974-vhs-floor-sale-action,Death Wish (1974),,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,68608762,,,,false,,,,,,,,,,lb,,,active
death-wish-3-vhs-floor-sale-action,Death Wish 3,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,98426618,,,,false,,,,,,,,,,lb,,,active
death-wish-4-the-crackdown-vhs-rental-action,Death Wish 4 The Crackdown,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78250490,,,,false,,,,,,,,,,lb,,,active
deep-cover-vhs-floor-sale-action,Deep Cover,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,03913210,,,,false,,,,,,,,,,lb,,,active
deep-impact-vhs-floor-sale-sci-fi,Deep Impact,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,17975290,,,,false,,,,,,,,,,lb,,,active
delta-force-2-vhs-rental-action,Delta Force 2,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79495674,,,,false,,,,,,,,,,lb,,,active
