Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mothers-day-vinegar-syndrome,Mother's Day (Vinegar Syndrome),,4K,Media > Videos,,"4K, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-4K2MOT-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781402653277.jpg?v=1787925683,1,191-4K2MOT-50-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
the-prophecy-i-ii-iii-vinegar-syndrome,The Prophecy I-II-III (Vinegar Syndrome),,4K,Media > Videos,,"4K, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRTH9-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781402359554_677912d4-5ef9-4b71-9237-4bec380ca9db.jpg?v=1787925684,1,191-BLRTH9-50-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
steel-and-lace-vinegar-syndrome,Steel and Lace (Vinegar Syndrome),,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRSTE-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781402271043.jpg?v=1787925685,1,191-BLRSTE-50-001A,false,,,,,,,sci-fi,,,,,,,,,,,,lb,,,active
the-sinful-dwarf-limited-collectors-edition,The Sinful Dwarf (Limited Collector's Edition),,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRTH6-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781397740417.jpg?v=1787925686,1,191-BLRTH6-50-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
m3gan-unrated-4k,M3GAN (Unrated) 4K,,4K,Media > Videos,,"4K, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRM3G-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781397147671.jpg?v=1787925687,1,191-BLRM3G-50-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
the-boogeyman-vinegar-syndrome,The Boogeyman (Vinegar Syndrome),,4K,Media > Videos,,"4K, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-4K2THE-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781396963207.jpg?v=1787925689,1,191-4K2THE-50-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
bloodsucking-freaks-vinegar-syndrome,BLOODSUCKING FREAKS (Vinegar Syndrome),,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRBLO-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781396875869.jpg?v=1787925690,1,191-BLRBLO-50-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
zack-parkers-proxy,Zack Parker's Proxy,,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRZAC-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781396692495.jpg?v=1787925692,1,191-BLRZAC-50-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
bruce-lee-his-greatest-hits-criterion-collection,Bruce Lee: His Greatest Hits (Criterion Collection),,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRBRU-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781396498840.jpg?v=1787925692,1,191-BLRBRU-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
waterworld-arrow-release,Waterworld (Arrow Release),,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRWAT-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781396390713.jpg?v=1787925693,1,191-BLRWAT-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
