title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Despicable Me,,"Determined to prove he's the world's greatest supervillain, Gru hatches an audacious plan to steal the Moon. To pull it off, he adopts three orphaned girls—Margo, Edith, and Agnes—intending to use them as pawns in his scheme. But the unexpected bond they form forces him to question the criminal life he's always known.",,,,,,"DVD, kids-family",,,0.00,,,,,1,51883258,,,,,,,,
Dirty Dancing,,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",,,,,,"DVD, drama",,,0.00,,,,,1,79695354,,,,,,,,
Dirty Dancing,,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",,,,,,"VHS, drama",,,0.00,,,,,1,18411770,,,,,,,,
Dog Jack,,"""Dog Jack"" is the story of a slave boy and his dog who escape the master's plantation, join the union army, and have to face their former master on the battlefield. The story is inspired by the historical true-life adventures of the beloved mascot of the Pennsylvania 102nd, who was so prized by his regiment for his skills in battle that he was twice exchanged for a Confederate prisoner of war.",,,,,,"DVD, kids-family",,,0.00,,,,,1,19238906,,,,,,,,
Donnie Brasco,,An FBI undercover agent infiltrates the mob and identifies more with the mafia life at the expense of his regular one.,,,,,,"VHS, drama",,,0.00,,,,,1,07008506,,,,,,,,
"Double Feature: Missing in Action 2, Missing in Action III",,"A double feature pairing Missing in Action 2: The Beginning and Braddock: Missing in Action III, starring Chuck Norris.",,,,,,"DVD, action",,,0.00,,,,,1,42052858,,,,,,,,
"Double Feature: Romeo Must Die, Cradle 2 the Grave",,"A double feature pairing Romeo Must Die (2000) and Cradle 2 the Grave (2003), both starring Jet Li and DMX.",,,,,,"DVD, action",,,0.00,,,,,1,41921786,,,,,,,,
Double Feature: Spy / The Heat,,"A double feature DVD pairing Spy (2015) and The Heat (2013), two action-comedy films starring Melissa McCarthy.",,,,,,"DVD, comedy",,,0.00,,,,,1,91017210,,,,,,,,
"Double Feature: Stand and Deliver, Lean on Me",,"A double feature pairing Stand and Deliver (1988) and Lean on Me (1989), both inspirational dramas about dedicated teachers.",,,,,,"DVD, drama",,,0.00,,,,,1,79498746,,,,,,,,
"Double Feature: State Property, State Property 2",,"A double feature pairing State Property (2002) and State Property 2 (2005), crime dramas produced by Damon Dash and featuring Beanie Sigel.",,,,,,"DVD, drama",,,0.00,,,,,1,79367674,,,,,,,,
