Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no description; no image,dejavu-dvd-floor-sale-sci-fi,DejaVu,,DVD,Media > Videos,,"DVD, Floor Sale, Formatted, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,39898618,,,,false,,,,,,,sci-fi,,,,,,,,,,,,lb,,,active
no description; no image,dejavu-dvd-rental-thriller,Dejavu,,DVD,Media > Videos,,"DVD, Formatted, Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,70755322,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description; no image,delision-vhs-floor-sale-thriller,Delusion,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,true,true,,,,,46145786,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description; no image,delta-force-commando-2-vhs-floor-sale-action,Delta Force Commando 2,,VHS,Media > Videos,,"Action, Floor Sale, Formatted, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,64041722,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no description; no image,delta-force-vhs-floor-sale-action,Delta Force 3,,VHS,Media > Videos,,"Action, Floor Sale, Formatted, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,71174650,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no description; no image,delusion-vhs-floor-sale-thriller,Delusion,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,true,true,,,,,22454522,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description; no image,dementia-13-dvd-rental-horror,Dementia 13,,DVD,Media > Videos,,"DVD, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,62426618,,,,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
no description; no image,demolition-man-special-edition-4k-ultra-hd-4k-floor-sale-sci-fi,Demolition Man (Special Edition) [4K Ultra HD],,4K,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,45.00,,true,true,,,,,92402938,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,demolition-man-special-edition-blu-ray-bluray-floor-sale-sci-fi,Demolition Man (Special Edition) [Blu-ray],,Blu-ray,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,38.00,,true,true,,,,,92894458,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,desert-blue-vhs-floor-sale-comedy,Desert Blue,,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,99133178,,,,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
no description; no image,desert-heat-vhs-rental-action,Desert Heat,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,85880314,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no image,desperado-dvd-floor-sale-action,Desperado,<p></p>,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,45072122,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,desperate-measures-vhs-floor-sale-thriller,Desperate Measures,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,29955066,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description,despicable-me-bluray-floor-sale-kids-family,Despicable Me,,Blu-Ray,Media > Videos,,"Blu-Ray, Floor Sale, Formatted, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,48252666,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/b1BT309QWjtFUlJPLmXmrcHOWEL_d566315d-9663-4dbe-a6c3-b3b636ca3552.jpg?v=1787922050,1,Despicable Me (2010) poster,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
no description,despicable-me-dvd-rental-kids-family,Despicable Me,,DVD,Media > Videos,,"DVD, Formatted, Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,51883258,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/b1BT309QWjtFUlJPLmXmrcHOWEL.jpg?v=1787921689,1,Despicable Me (2010) poster,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
no image,detective-pikachu-bluray-floor-sale-4k-kids-family,Detective Pikachu,"<p>V For Vendetta, Watchmen, Constantine</p>",4K,Media > Videos,,"4K, Floor Sale, Formatted, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,true,true,,,,,49449466,,,,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
