Handle,Title,Option1 Name,Option1 Value,Image Src,Image Alt Text,Body (HTML)
notorious-vhs-rental-thriller,Notorious,Genre,Thriller,https://image.tmdb.org/t/p/w1280/e7DHQGgivZyMvM4z7mA7gMNvOHg.jpg,Notorious poster,"<p>In order to help bring Nazis to justice, U.S. government agent T.R. Devlin recruits Alicia Huberman, the American daughter of a convicted German war criminal, as a spy. As they begin to fall for one another, Alicia is instructed to win the affections of Alexander Sebastian, a Nazi hiding out in Brazil. When Sebastian becomes serious about his relationship with Alicia, the stakes get higher, and Devlin must watch her slip further undercover.</p>"
old-school-dvd-rental-comedy,Old School,Genre,Comedy,https://image.tmdb.org/t/p/w1280/nYtuwNHpEoIbTgS3aFPSEwZNN6l.jpg,Old School poster,<p>Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.</p>
on-the-beach-vhs-rental-sci-fi,On the Beach,Genre,Drama,https://image.tmdb.org/t/p/w1280/lTDuj5zalrI0fpQel7UfPHTexTK.jpg,On the Beach poster,"<p>In 1964, atomic war wipes out humanity in the northern hemisphere; one American submarine finds temporary safe haven in Australia, where life-as-usual covers growing despair. In denial about the loss of his wife and children in the holocaust, American Captain Towers meets careworn but gorgeous Moira Davidson, who begins to fall for him. The sub returns after reconnaissance a month (or less) before the end; will Towers and Moira find comfort with each other?</p>"
one-missed-call-dvd-rental-horror,One Missed Call,Genre,Horror,https://image.tmdb.org/t/p/w1280/9pIvQaQV0sMHx7d3Ys9qTK9YqTZ.jpg,One Missed Call poster,"<p>Several people start receiving voice-mails from their future selves -- messages which include the date, time, and some of the details of their deaths.</p>"
open-call-dvd-rental-documentary,Open Range,Genre,Drama,https://image.tmdb.org/t/p/w1280/1mrNc88NrUEGtMtat4FD7sfpFrW.jpg,Open Range poster,<p>A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.</p>
open-season-dvd-rental-kids-family,Open Season,Genre,Kids & Family,https://image.tmdb.org/t/p/w1280/w5Lctmkc1yah215Luxmci4djaiW.jpg,Open Season poster,"<p>Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.</p>"
original-sin-dvd-rental-drama,Original Sin,Genre,Drama,https://image.tmdb.org/t/p/w1280/xvTtsdvvVr1NYlVJxWZibzhaEt5.jpg,Original Sin poster,"<p>A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp.</p>"
our-town-vhs,Our Town,Genre,Drama,https://image.tmdb.org/t/p/w1280/tXYWSUIUfiG06XzgSSkd4sQFOru.jpg,Our Town poster,"<p>Change comes slowly to a small New Hampshire town in the early 20th century. We see birth, life and death in this small community.</p>"
paradise-alley-vhs-rental-drama,Paradise Alley,Genre,Drama,https://image.tmdb.org/t/p/w1280/tF3YenU48fn1Ml0AMRvsG6nSP9V.jpg,Paradise Alley poster,"<p>Three Italian-American brothers, living in the slums of 1940's New York City, try to help each other with one's wrestling career using one brother's promotional skills and another brother's con-artist tactics to thwart a sleazy manager.</p>"
paranoid-dvd-rental-horror,Paranoid,Genre,Horror,https://image.tmdb.org/t/p/w1280/7ERnpPPhr6mbzKIAqdKsMi6ycQq.jpg,Paranoid poster,<p>Chloe Keane is an stressed American fashion model living in London who is about to have the worst weekend of her life. She and her boyfriend are invited to attend a party at the house of a former rock-star named Stan and his weird family who live in the countryside. Chloe awakes the next morning only to find her boyfriend has abandoned her at Stan's house and she has been drugged and handcuffed to the bed.</p>
paul-blart-mall-cop-dvd-rental-kids-family,Paul Blart: Mall Cop,Genre,Kids & Family,https://image.tmdb.org/t/p/w1280/A4zZv0Q1VKURFZFEl2vwjaE2q0g.jpg,Paul Blart: Mall Cop poster,"<p>When a shopping mall is taken over by a gang of organized crooks, it's up to a mild-mannered security guard to save the day.</p>"
perfect-stranger-dvd-rental-thriller,Perfect Stranger,Genre,Thriller,https://image.tmdb.org/t/p/w1280/i7D5QqQ0q5EXU1UuZVY9KwIxoYR.jpg,Perfect Stranger poster,"<p>A journalist goes undercover to ferret out businessman Harrison Hill as her best friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse.</p>"
pinocchio-vhs-rental-kids-family,Pinocchio,Genre,Kids & Family,https://image.tmdb.org/t/p/w1280/bnZJrLRnoQHpzEJdka1KYfsAF3N.jpg,Pinocchio poster,"<p>When the gentle woodcarver Geppetto builds a marionette to be his substitute son, a benevolent fairy brings the toy to life. The puppet, named Pinocchio, is not yet a human boy. He must earn the right to be real by proving that he is brave, truthful, and unselfish.</p>"
pirates-of-the-caribbean-dvd-rental-kids-family,Pirates of the Caribbean,Genre,Kids & Family,,,"<p>A droning account of several famous pirates &amp; pirate bands interspersed with commentary by several unanimated experts, featuring movie clips, still painting, &amp; repeated video that don't really convey the dramatic &amp; violent lifestyle that is the topic of this would-be documentary. Contrary to the suggestion of its title, this is NOT an adjunct to the Disney film it attempts to expose</p>"
planet-of-the-apes-vhs-rental-sci-fi,Planet of the Apes,Genre,Sci-Fi,https://image.tmdb.org/t/p/w1280/2r9iKnlSYEk4daQadsXfcjHfIjQ.jpg,Planet of the Apes poster,"<p>Astronaut Taylor crash lands on a distant planet ruled by apes who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist.</p>"
police-story-dvd-rental-action,Police Story,Genre,Action,https://image.tmdb.org/t/p/w1280/1eFB0Iy1TMU4VO5hMcoCE064JAT.jpg,Police Story poster,"<p>Officer Chan Ka Kui manages to put a major Hong Kong drug dealer behind the bars practically alone, after a shooting and an impressive chase inside a slum. Now, he must protect the boss' secretary, Selina, who will testify against the gangster in court.</p>"
premonition-dvd-rental-thriller,Premonition,Genre,Thriller,https://image.tmdb.org/t/p/w1280/vKW1XIYrIqVrbCaYj9FQDHKXR8R.jpg,Premonition poster,"<p>A depressed housewife who learns her husband was killed in a car accident the day previously awakens the next morning to find him alive and well at home, and then awakens the day after to a world in which he is still dead.</p>"
price-of-glory-vhs-rental-drama,Price of Glory,Genre,Drama,https://image.tmdb.org/t/p/w1280/yRFEv3c5uEVywcREzEL4FiwhX1p.jpg,Price of Glory poster,"<p>An ex-boxer, living with the knowledge that his fight career was cut short by a crooked manager, channels his bitter disappointment in a single-minded quest for boxing championships for his three sons. We see them in pee-wee Silver Glove matches with dad constantly pushing them. Ten years later, they're young men, with dad as both father and manager. A professional promoter, Nick Everson, wants to sign the boys, but dad rejects those offers. Then, in expressions of their varied relationships with their father, each son makes his own decisions. Can dad ever step aside, and can the family hold together?</p>"
point-break,Point Break,Genre,Action,,,"<p>In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.</p>"
prom-night-dvd-rental-horror,Prom Night,Genre,Horror,https://image.tmdb.org/t/p/w1280/pKSeyN02R5khphImEIpAdBjQgEP.jpg,Prom Night poster,"<p>Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.</p>"
prom-night,Prom Night,Genre,Horror,,,"<p>Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.</p>"
public-enemies-dvd-rental-thriller,Public Enemies,Genre,Thriller,https://image.tmdb.org/t/p/w1280/3KgtekisQBrHRsm2cD5UOB6Ce3k.jpg,Public Enemies poster,"<p>Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.</p>"
rage-vhs-rental-thriller,Rage,Genre,Thriller,https://image.tmdb.org/t/p/w1280/1pC6xTd15iLIs5De7JKQfrDmKyd.jpg,Rage poster,"<p>When the Russian mob kidnaps the daughter of a reformed criminal, he rounds up his old crew and seeks his own brand of justice.</p>"
rampage,Rampage,Genre,Action,,,"<p>Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.</p>"
rat-race,Rat Race,Genre,Comedy,,,"<p>In an ensemble film about easy money, greed, manipulation and bad driving, a Las Vegas casino tycoon entertains his wealthiest high rollers -- a group that will bet on anything -- by pitting six ordinary people against each other in a wild dash for $2 million jammed into a locker hundreds of miles away. The tycoon and his wealthy friends monitor each racer's every move to keep track of their favorites. The only rule in this race is that there are no rules.</p>"
real-life-vhs-rental-comedy,Real Life,Genre,Comedy,https://image.tmdb.org/t/p/w1280/ihN6hpMI8IUGgUvivU5HUT2M16c.jpg,Real Life poster,"<p>A pushy, narcissistic filmmaker persuades a Phoenix family to let him and his crew film their everyday lives, in the manner of the ground-breaking PBS series ""An American Family"".</p>"
red-beard-dvd-rental-drama,Red Beard,Genre,Drama,https://image.tmdb.org/t/p/w1280/iYNH3Re0JSypoYaWvZtERUnNaJL.jpg,Red Beard poster,"<p>Aspiring to an easy job as personal physician to a wealthy family, Noboru Yasumoto is disappointed when his first post after medical school takes him to a small country clinic under the gruff doctor Red Beard. Yasumoto rebels in numerous ways, but Red Beard proves a wise and patient teacher. He gradually introduces his student to the unglamorous side of the profession, ultimately assigning him to care for a prostitute rescued from a local brothel.</p>"
revenge-dvd-rental-action,Revenge,Genre,Action,https://image.tmdb.org/t/p/w1280/dWXjUGwpwGWWevcnpPuf5QGpKMw.jpg,Revenge poster,<p>Jen's romantic getaway with her wealthy married boyfriend is disrupted when his friends arrive for an impromptu hunting trip. Tension mounts at the house until the situation culminates in an unexpected way.</p>
revenge-vhs-rental-thriller,Revenge,Genre,Thriller,https://image.tmdb.org/t/p/w1280/83diOZcg6ZiY8voNy2k4BX9TsMf.jpg,Revenge poster,"<p>Michael ‘Jay’ Cochran has just left the Navy after 12 years and he's not quite sure what he's going to do, except that he knows he wants a holiday. He decides to visit Tiburon Mendez, a powerful but shady Mexican businessman who he once flew to Alaska for a hunting trip. Arriving at the Mendez mansion in Mexico, he is immediately surprised by the beauty and youth of Mendez’s wife, Miryea.</p>"
robin-hood-unrated-directors-cut,Robin Hood (Unrated Director's Cut),Genre,Drama,,,"<p>When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.</p>"
role-models-dvd-rental-comedy,Role Models,Genre,Comedy,https://image.tmdb.org/t/p/w1280/ki79dSjh6Rr51xrsz4dT04UGxSU.jpg,Role Models poster,"<p>Two salesmen trash a company truck on an energy drink-fueled bender. Upon their arrest, the court gives them a choice: do hard time or spend 150 service hours with a mentorship program. After one day with the kids, however, jail doesn't look half bad.</p>"
runaway-bride-vhs-rental-romantic-comedy,Runaway Bride,Genre,Romantic Comedy,https://image.tmdb.org/t/p/w1280/wzivR0yWJStVdhcl0A5rQvVdTQ7.jpg,Runaway Bride poster,"<p>Having already left three grooms at the altar, Maggie Carpenter is branded ""the runaway bride"" by jaded New York journalist Ike Graham. But, after his facts are called into question, Ike races to Maggie's hometown to save his reputation and report on her upcoming fourth trip down the aisle – during which he's convinced she'll run again. Though he's there on a muckraking mission, Ike can't help but fall for this breathtaking heartbreaker.</p>"
scarface-dvd-rental-drama,Scarface,Genre,Drama,https://image.tmdb.org/t/p/w1280/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,Scarface poster,"<p>After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.</p>"
scary-stories-dvd-rental-horror,Scary Stories,Genre,Horror,https://image.tmdb.org/t/p/w1280/vx69PfMP00UeOC3z4pUJLhmtPoz.jpg,Scary Stories poster,"<p>A documentary about children's horror classic Scary Stories to Tell in the Dark. It includes the author's family, scholars, folklorists, artists, and children's book authors such as R.L. Stine, Q.L. Pearce, and more.</p>"
see-no-evil-dvd-rental-horror,See No Evil,Genre,Horror,https://image.tmdb.org/t/p/w1280/uA6hwY75mhewYK2tAib1LJclhbD.jpg,See No Evil poster,"<p>A group of delinquents are sent to clean the Blackwell Hotel but little do they know reclusive psychopath Jacob Goodnight has holed away in the rotting hotel. When one of the teens is captured, those who remain band together to survive against the brutal killer.</p>"
sense-and-sensibility-dvd-rental-drama,Sense and Sensibility,Genre,Drama,https://image.tmdb.org/t/p/w1280/9YdQ73YmvInxpXZVNjEKePw9tRO.jpg,Sense and Sensibility poster,"<p>The Dashwood sisters, sensible Elinor and passionate Marianne, learn that their prospects of marriage seem doomed by their family's sudden loss of fortune. After Henry Dashwood dies unexpectedly, his estate must pass on by law to his son. These circumstances leave Mr. Dashwood's wife and daughters without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.</p>"
september-vhs,September,Genre,Drama,https://image.tmdb.org/t/p/w1280/gTsFkvUt9wrGOZh6JNDSFd2LIBT.jpg,September poster,"<p>After a suicide attempt, Lane has moved into her country house to recuperate. Her best friend, Stephanie, has come to join her for the summer. Lane's mother, Diane, has recently arrived with her husband Lloyd, Lane's stepfather. Lane is close to two neighbors: Peter, and Howard. Howard is in love with Lane, Lane is in love with Peter, and Peter is in love with Stephanie.</p>"
serena-dvd-rental-drama,Serena,Genre,Drama,https://image.tmdb.org/t/p/w1280/6P1IgM4T3cOmEiBL01AFtPbHk9E.jpg,Serena poster,"<p>North Carolina mountains at the end of the 1920s – George and Serena Pemberton, love-struck newly-weds, begin to build a timber empire. Serena soon proves herself to be equal to any man: overseeing loggers, hunting rattle-snakes, even saving a man’s life in the wilderness. With power and influence now in their hands, the Pembertons refuse to let anyone stand in the way of their inflated love and ambitions. However, once Serena discovers George’s hidden past and faces an unchangeable fate of her own, the Pemberton’s passionate marriage begins to unravel leading toward a dramatic reckoning.</p>"
sin-city-dvd-rental-action,Sin City,Genre,Action,https://image.tmdb.org/t/p/w1280/i66G50wATMmPrvpP95f0XP6ZdVS.jpg,Sin City poster,"<p>Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.</p>"
skyscraper,Skyscraper,Genre,Action,,,"<p>Framed and on the run, a former FBI agent must save his family from a blazing fire in the world's tallest building.</p>"
sleeper-dvd-rental-comedy,Sleeper,Genre,Comedy,,,"<p>Miles Monroe, a clarinet-playing health food store proprietor, is revived out of cryostasis 200 years into a future world in order to help rebels fight an oppressive government regime.</p>"
snitch-dvd-rental-thriller,Snitch,Genre,Thriller,https://image.tmdb.org/t/p/w1280/1suKSCm8gVUIIOh4MgtWAtzkMe4.jpg,Snitch poster,"<p>Construction company owner John Matthews learns that his estranged son, Jason, has been arrested for drug trafficking. Facing an unjust prison sentence for a first time offender courtesy of mandatory minimum sentence laws, Jason has nothing to offer for leniency in good conscience. Desperately, John convinces the DEA and the opportunistic DA Joanne Keeghan to let him go undercover to help make arrests big enough to free his son in return. With the unwitting help of an ex-con employee, John enters the narcotics underworld where every move could be his last in an operation that will demand all his resources, wits and courage to survive.</p>"
son-of-kong-vhs-rental-sci-fi,Son of Kong,Genre,Sci-Fi,https://image.tmdb.org/t/p/w1280/eJ2Qe3tesoKUtWNJRDpHKz1xCJc.jpg,Son of Kong poster,<p>Beleaguered adventurer Carl Denham returns to the island where he found King Kong.</p>
speed-dvd-rental-action,Speed,Genre,Action,https://image.tmdb.org/t/p/w1280/82PkCE4R95KhHICUDF7G4Ly2z3l.jpg,Speed poster,<p>Tensions run high when a crazed bomber rigs a Los Angeles bus with a device that will kill everyone on board if the vehicle's speed dips below fifty miles per hour.</p>
speed,Speed,Genre,Action,,,<p>Tensions run high when a crazed bomber rigs a Los Angeles bus with a device that will kill everyone on board if the vehicle's speed dips below fifty miles per hour.</p>
star-wars-a-new-hope-vhs-floor-sale-sci-fi,Star Wars: A New Hope,Genre,Sci-Fi,,,<p>Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.</p>
star-wars-attack-of-the-clones-dvd-rental-sci-fi,Star Wars: Attack of the Clones,Genre,Sci-Fi,,,"<p>Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot into the heart of the Separatist movement and the beginning of the Clone Wars.</p>"
star-wars-attack-of-the-clones-dvd-floor-sale-sci-fi,Star Wars: Attack of the Clones,Genre,Sci-Fi,,,"<p>Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot into the heart of the Separatist movement and the beginning of the Clone Wars.</p>"
star-wars-revenge-of-the-sith-dvd-floor-sale-sci-fi,Star Wars: Revenge of the Sith,Genre,Sci-Fi,,,"<p>When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker must choose a side.</p>"
star-wars-the-phantom-menace-dvd-rental-sci-fi,Star Wars: The Phantom Menace,Genre,Sci-Fi,,,"<p>Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.</p>"
starship-troopers-2-vhs-rental-sci-fi,Starship Troopers 2,Genre,Sci-Fi,,,"<p>A group of troopers take refuge in an abandoned outpost after fighting alien bugs, failing to realize that more danger lays in wait.</p>"
stealth-dvd-floor-sale-thriller,Stealth,Genre,Thriller,,,"<p>Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control ... before it initiates the next world war.</p>"
stir-of-echoes-2-dvd-rental-thriller,Stir of Echoes 2,Genre,Thriller,,,<p>A soldier returns home from the Iraq war only to be haunted by visions of the dead.</p>
t2-judgement-day-bluray,T2: Judgement Day,Genre,Sci-Fi,,,"<p>Ten years after the events of the original, a reprogrammed T-800 is sent back in time to protect young John Connor from the shape-shifting T-1000. Together with his mother Sarah, he fights to stop Skynet from triggering a nuclear apocalypse.</p>"
thats-the-way-i-like-it-vhs-floor-sale-comedy,That's the Way I Like It,Genre,Comedy,,,"<p>Hock, a Bruce Lee-worshipping grocery boy, falls in love with disco after a screening of his favorite kung fu film is replaced with a ""Saturday Night Fever"" clone.  Partnering up with his friend Mei, he signs up for dancing lessons to prepare for a contest, in order to make some extra cash and buy a new motorcycle.</p>"
the-baby-bot-chase-rolie-polie-olie-dvd-rental-kids-family,The Baby Bot Chase: Rolie Polie Olie,Genre,Kids & Family,,,"<p>An ill-fated attempt to capture a wishing star as a gift for their parents leads Rolie and Zowie into a musical outer space venture that brings a pair of lost twins into their lives in the multicolored robotic family's second feature-length outing. The baby bots have inadvertently left their dwelling, a fantasy foster home more akin to amusement park than institution. When Rolie and Zowie bring the misplaced babies back to their home planet, Mom and Dad are willing to give up the Family Fun Day Parade in order to track down the ""mothership."" The intergalactic road trip results in the discovery that the infants need a good adoptive home. The parents offer verbal agreement (no red tape or exorbitant fees here!) and it's back home in time for the parade in this sweetly unjaded 68-minute movie from the folks at Disney Playhouse. (Ages 2 to 7) --Kimberly Heinrichs</p>"
the-brothers-grimsby-dvd-rental-comedy,The Brothers Grimsby,Genre,Comedy,,,"<p>Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot.</p>"
the-fugitive-us-marshals-dvd-floor-sale-action,The Fugitive / U.S. Marshals,Genre,Action,,,"<p>U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.</p>"
the-hudsucker-vhs-floor-sale-comedy,The Hudsucker,Genre,Comedy,,,<p>A naive business graduate is installed as president of a manufacturing company as part of a stock scam.</p>
the-last-of-philip-banter-vhs-floor-sale-thriller,The Last of Philip Banter,Genre,Thriller,,,<p>An alcoholic partier becomes a paranoid maniac when a manuscript that predicts real-life horrors takes possession of his mind.</p>
the-legend-of-the-shadowless-sword-dvd-floor-sale-action,The Legend of the Shadowless Sword,Genre,Action,,,"<p>927 AD. The Killer-Blade Army has toppled the ruling dynasty, plunging the kingdom into chaos. The only remaining heir, Prince Jung-Hyun is living in exile, unaware of his family's dark fate. Still loyal to the dynasty, the beautiful and deadly warrior Soha sets out to find Jung-Hyun and guide him to become the great leader he was born to be. But with the Army's greatest assassins and the criminal underworld hunting them, Soha and Jung-Hyun are swept into an explosive, non-stop battle of swords, wits and bloodshed as they fight to reclaim the fallen throne.</p>"
the-nut-job-nut-job-2-dvd-rental-kids-family,The Nut Job & Nut Job 2,Genre,Kids & Family,,,"<p>When the evil mayor of Oakton decides to bulldoze Liberty Park and build a dangerous amusement park in its place, Surly Squirrel and his ragtag group of animal friends need to band together to save their home, defeat the mayor, and take back the park.</p>"
steel-vhs,Steel,Genre,Action,https://image.tmdb.org/t/p/w1280/ufA7d5LT2rGj58KaZErPhcMkJ4U.jpg,Steel poster,"<p>When a renegade military reject puts new superweapons in dangerous hands, John Henry Irons becomes Steel. Wearing body armor, wielding a fearsome electrohammer and riding a gadget-packed motorcycle, he's ready to wage war... if he can fix the untimely glitches in his untested gear.</p>"
steel-magnolias-dvd-floor-sale-drama,Steel Magnolias,Genre,Drama,https://image.tmdb.org/t/p/w1280/7ExUSN9s9gX9bhVM17zDLEizano.jpg,Steel Magnolias poster,"<p>A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.</p>"
stone-cold-dvd-rental-thriller,Stone Cold,Genre,Thriller,https://image.tmdb.org/t/p/w1280/vovdfgdfXazuOZK7x8ZwFwuxtci.jpg,Stone Cold poster,"<p>Jesse Stone is a former L.A. homicide detective who left behind the big city and an ex-wife to become the police chief of the quiet New England fishing town of Paradise. Stone's old habits die hard as he continues to indulge his two favorite things: Scotch whiskey and women. After a series of murders, the first ever in Paradise, and a high school girl is raped he's forced to face his own demons in order to solve the crimes.</p>"
straw-dogs-dvd-5,Straw Dogs,Genre,Thriller,https://image.tmdb.org/t/p/w1280/yigkfHE1OhkxPPrjrV78Y9ibGEk.jpg,Straw Dogs poster,"<p>David Sumner, a mild-mannered academic from the United States, marries Amy, an Englishwoman. In order to escape a hectic stateside lifestyle, David and his wife relocate to the small town in rural Cornwall where Amy was raised. There, David is ostracized by the brutish men of the village, including Amy's old flame, Charlie. Eventually the taunts escalate.</p>"
stray-dog-dvd-rental-drama,Stray Dog,Genre,Drama,https://image.tmdb.org/t/p/w1280/riBzUgeYawBDi2q9PjARjHrQM7Z.jpg,Stray Dog poster,"<p>A bad day gets worse for young detective Murakami when a pickpocket steals his gun on a hot, crowded bus. Desperate to right the wrong, he goes undercover, scavenging Tokyo’s sweltering streets for the stray dog whose desperation has led him to a life of crime. With each step, cop and criminal’s lives become more intertwined and the investigation becomes an examination of Murakami’s own dark side.</p>"
stuart-little-dvd-rental-kids-family,Stuart Little,Genre,Kids & Family,https://image.tmdb.org/t/p/w1280/362lcwTJlNyAhitTlp2UraECISR.jpg,Stuart Little poster,"<p>When the Littles adopt Stuart, the mouse, George is initially unwelcoming to his new brother, and the family cat, Snowbell, is even less enthusiastic. Stuart resolves to face these difficulties with as much pluck and courage as he can muster.</p>"
stuart-little-dvd-floor-sale-kids-family,Stuart Little,Genre,Kids & Family,https://image.tmdb.org/t/p/w1280/362lcwTJlNyAhitTlp2UraECISR.jpg,Stuart Little poster,"<p>When the Littles adopt Stuart, the mouse, George is initially unwelcoming to his new brother, and the family cat, Snowbell, is even less enthusiastic. Stuart resolves to face these difficulties with as much pluck and courage as he can muster.</p>"
sucker-punch-bluray-floor-sale-action,Sucker Punch,Genre,Action,https://image.tmdb.org/t/p/w1280/jtaUDnvIiHUd2ranDcjB5AbPx6o.jpg,Sucker Punch poster,"<p>A young woman, institutionalized by her abusive stepfather, retreats into a vivid fantasy world where she envisions a plan to escape. Gathering a group of fellow inmates, she embarks on a quest to collect five mystical items, blurring the lines between reality and imagination.</p>"
summers-end-vhs-rental-drama,Summer's End,Genre,Drama,https://image.tmdb.org/t/p/w1280/lKC943QXBh3ZxYK0TlIyjZYw9hH.jpg,Summer's End poster,"<p>A 12-year-old boy and his older brother have just lost their dad. At their summer cottage, the younger boy befriends a black doctor who has to deal with local prejudice and racism.</p>"
summertime-dvd-rental-drama,Summertime,Genre,Drama,https://image.tmdb.org/t/p/w1280/ugqdTcTEiIl37jv0QiSUlpplEke.jpg,Summertime poster,"<p>In 1971, a young woman moves from the French countryside to Paris and begins a passionate love affair with a feminist leader.</p>"
sunburn,Sunburn,Genre,Comedy,,,<p>A model and a private eye help a New York insurance investigator on a deadly case in Acapulco.</p>
sunset-strip-vhs-floor-sale-drama,Sunset Strip,Genre,Drama,https://image.tmdb.org/t/p/w1280/j9awEAeVvMolWIAmmqTYeRyXagM.jpg,Sunset Strip poster,"<p>A day in Hollywood, 1972, with young people looking for the 24 hours that will change their lives. Zach will open that night for a British rocker at Whisky a Go-Go; he lives in a canyon and plays impromptu duets with a mysterious guitarist he doesn't see. Tammy is a costume designer, open to quick sex with the various rockers she works with and loved from afar by Michael, a photographer recovering from a case of the clap. His good friend is Felix, a morose, alcoholic songwriter. On hand for comic relief is Marty Shapiro, a fast-talking record producer. Getting ready for the gig at the club, Zach's performance, and the early-morning aftermath comprise the film.</p>"
super-8-bluray-floor-sale-action,Super 8,Genre,Action,https://image.tmdb.org/t/p/w1280/pUWIjaMMYJjeBm5bJyE3mIXdQ62.jpg,Super 8 poster,"<p>In late 1970s Ohio, a group of friends filming a homemade zombie movie witness a devastating train derailment. Soon after, their quiet town is gripped by unexplained disappearances, strange phenomena, and a growing sense of fear, as they uncover that something terrifying has been set loose.</p>"
super-dave-dvd-rental-comedy,Super Dave,Genre,Comedy,https://image.tmdb.org/t/p/w1280/AjxnGP5gsCf1Oz9D9gfoiFFpViC.jpg,Super Dave poster,"<p>Super Dave Osborne, our accident-prone stuntman hero, comes out of a self-imposed retirement to raise money for his new girlfriend's son's heart operation.</p>"
super-troopers,Super Troopers,Genre,Comedy,,,"<p>Five bored, occasionally high and always ineffective Vermont state troopers must prove their worth to the governor or lose their jobs. After stumbling on a drug ring, they plan to make a bust, but a rival police force is out to steal the glory.</p>"
superman-ii-vhs-floor-sale-action,Superman II,Genre,Action,https://image.tmdb.org/t/p/w1280/3xk5cno9BHcnwc97XO9k21aI1Zi.jpg,Superman II poster,"<p>Three Kryptonian criminals led by General Zod team up with Lex Luthor to conquer Earth, forcing a depowered Superman to regain his strength and stop them.</p>"
