Handle,Title,Option1 Name,Option1 Value,Image Src,Image Alt Text,Body (HTML)
anna-dvd-rental-thriller,Anna,Genre,Thriller,https://image.tmdb.org/t/p/w1280/6HdQOqkrLBuJpLmn3j9TvYkfRH1.jpg,Anna poster,"<p>Disappointment, shame and unanswered love. Anna has to experience everything in a single evening, only 15 years old.</p>"
annapolis-dvd-rental-drama,Annapolis,Genre,Drama,https://image.tmdb.org/t/p/w1280/hH6YeqFcihbZsz7iWl6MzQVzL8O.jpg,Annapolis poster,"<p>Jake Huard, from a shipbuilders family, promised his dying mother he'ld make it to Anapolis Naval Academy. Thanks to tenaciously bugging a Congressman, he's selected despite dubious grades. Once inside, Jake soon proves sub-standard academically. Constantly challenged to his limits, repeatedly made the 'over-cocky' reason for the entire class to suffer, Jake nearly quits, but after facing his utterly un-supportive father's gloating returns just in time. Stubborn Jake finds support withs mates as well as Senor Ali, his lover-to-be, and a discipline he may excel in: the 'brigade' boxing tournament, open to all ranks.</p>"
annie-dvd-rental-musical,Annie,Genre,Musical,https://image.tmdb.org/t/p/w1280/y0XWZC1A7PbWf1gwmvbvhY9uWM2.jpg,Annie poster,"<p>Things seem pretty bad for a young girl living a ""hard-knock life"" in an orphanage. Fed up with the dastardly Miss Hannigan, Annie escapes the run-down orphanage determined to find her mom and dad. It's an adventure that takes her from the cold, mean streets of New York to the warm, comforting arms of bighearted billionaire Oliver Warbucks - with plenty of mischief and music in between.</p>"
another-woman-vhs-rental-drama,Another Woman,Genre,Drama,https://image.tmdb.org/t/p/w1280/ds4CcnlACh0r1r3VGa7y85dz72R.jpg,Another Woman poster,"<p>Marion is a woman who has learned to shield herself from her emotions. She rents an apartment to work undisturbed on her new book, but by some acoustic anomaly she can hear all that is said in the next apartment in which a psychiatrist holds his office. When she hears a young woman tell that she finds it harder and harder to bear her life, Marion starts to reflect on her own life. After a series of events she comes to understand how her unemotional attitude towards the people around her affected them and herself.</p>"
armageddon-dvd-rental-action,Armageddon,Genre,Action,https://image.tmdb.org/t/p/w1280/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,Armageddon poster,"<p>When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.</p>"
arsenic-and-old-lace,Arsenic and Old Lace,Genre,Comedy,,,"<p>Mortimer Brewster, a newspaper drama critic, playwright, and author known for his diatribes against marriage, suddenly falls in love and gets married;  but when he makes a quick trip home to tell his two maiden aunts, he finds out his aunts' hobby - killing lonely old men and burying them in the cellar!</p>"
backdraft-dvd-rental-action,Backdraft,Genre,Action,https://image.tmdb.org/t/p/w1280/bymJtYNIdiAiBR1LRetaJXbfryc.jpg,Backdraft poster,"<p>Two feuding siblings carrying on a heroic family tradition as Chicago firefighters. But when a puzzling series of arson attacks is reported, they are forced to set aside their differences to solve the mystery surrounding these crimes.</p>"
bananas-dvd-rental-comedy,Bananas,Genre,Comedy,https://image.tmdb.org/t/p/w1280/gK11RUXspxqty0Wq6KoV8J0crKO.jpg,Bananas poster,"<p>When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.</p>"
bandits-dvd-rental-action,Bandits,Genre,Action,https://image.tmdb.org/t/p/w1280/vy5oMqjiYjjd7VWLnqo6c3u88lC.jpg,Bandits poster,"<p>After escaping from prison, Joe and Terry go on a crime spree, robbing banks through Oregon and California in order to finance their scheme for a new life south of the border. Unfortunately, things get more complicated when they meet Kate, who runs into them with her car. She joins the bandits on their cross-country spree, and eventually she steals something, too: their hearts.</p>"
beautiful-people-vhs-rental-drama,Beautiful People,Genre,Drama,https://image.tmdb.org/t/p/w1280/Pc4PdvmSf7kEg0VneIQp31Zdsa.jpg,Beautiful People poster,"<p>Alfredo and Susanna are two well-off fifty-year-olds who lead a stimulating cultural life. He is an architect and she is a psychologist; they live in Rome but spend their weekends at their country home in Umbria, where they love to spend their days walking in the forests or relaxing poolside with a good book. One day, as she goes into town, Susanna sees a girl prostituting herself in the bushes on the side of the road and decides to save her from her unhappy existence, despite the enormous differences that separate their ways of life.</p>"
