barcode,shopify_title,vendor,status,qty,product_id,in_libib,libib_id,libib_title,libib_collection,libib_status
191-BLRWRL-50-001A,Warlock Collection 3-Film Set,Blu-Ray,ACTIVE,1,9266895257850,yes,v8u4p3l26q,Warlock Collection 3-Film Set,Rental Library,
191-BLRWAT-50-001A,Waterworld (Arrow Release),Blu-Ray,ACTIVE,1,9260429869306,yes,6umxy4e8dt,Waterworld (Arrow Release),Rental Library,
191-BLRWEW-50-001A,We Were Soldiers,Blu-Ray,ACTIVE,1,9258827055354,yes,2ogknaftqt,We Were Soldiers,Rental Library,
191-BLRWER-50-001A,We're the Millers,Blu-Ray,ACTIVE,1,9258984603898,yes,w1e089xisd,We're the Millers,Rental Library,
191-VHSWHN-001A,When a Man Loves a Woman,VHS,ACTIVE,1,9276650389754,yes,m4xzh4b31h,When a Man Loves a Woman,Rental Library,
191-BLRWHE-50-001A,Where the #$&% is Santa?,Blu-Ray,ACTIVE,1,9260447498490,yes,bpyhlwgcho,Where the #$&% is Santa?,Rental Library,
191-BLRWHR-50-001A,Where the Wild Things Are,Blu-Ray,ACTIVE,1,9266894536954,yes,6umxy468dt,Where the Wild Things Are,Rental Library,
191-BLRWHI-50-001A,White House Down,Blu-Ray,ACTIVE,1,9266895028474,yes,8g3jry0ohq,White House Down,Rental Library,
191-DVDWHI-001A,White Noise,DVD,ACTIVE,1,9276610806010,yes,ywhtvwkr71,White Noise,Rental Library,
191-VHSWHT-001A,White Palace,VHS,ACTIVE,1,9270291562746,yes,obaqxbo0an,White Palace,Rental Library,
191-VHSWHE-001A,Who is Harry Kellerman and why is he saying those terrible things about me?,VHS,ACTIVE,1,9270291628282,yes,cnr1743mmk,Who is Harry Kellerman and why is he saying those terrible things about me?,Rental Library,
191-VHSWHS-001A,Who's That Girl,VHS,ACTIVE,1,9270291497210,yes,kq725wjysl,Who's That Girl,Rental Library,
191-VHSWHO-F-001A,Who's the Man?,VHS,ACTIVE,1,9243607466234,yes,iz5do83lqm,Who's the Man?,Rental Library,
191-VHSWIN-001A,"Win, Place or Steal",VHS,ACTIVE,1,9243651768570,yes,ayqfz18psz,"Win, Place or Steal",Rental Library,
191-BLYWIN-50-001A,Windtalkers,Blu-Ray,ACTIVE,1,9266932318458,yes,t0by4d093y,Windtalkers,Rental Library,
191-BLRWIS-50-001A,Wish Upon (Director's Cut),Blu-Ray,ACTIVE,1,9260363776250,yes,4jlvefjkbx,Wish Upon (Director's Cut),Rental Library,
191-BLRWRT-50-001A,Wrath of Man,Blu-Ray,ACTIVE,1,9266932220154,yes,hetbu5219k,Wrath of Man,Rental Library,
191-BLRWRA-50-001A,Wrath of the Titans,Blu-Ray,ACTIVE,1,9258826825978,yes,ri192vlxoz,Wrath of the Titans,Rental Library,
191-DVDX2X-001A,X2: X-Men United,DVD,ACTIVE,1,9276612116730,yes,9dcrkuc6rp,X2: X-Men United,Rental Library,
191-DVDYOU-001A,You've Got Mail,DVD,ACTIVE,1,9276608872698,yes,ftobygme5y,You've Got Mail,Rental Library,
191-DVDYNG-001A,Young Girls of Rochefort,DVD,ACTIVE,1,9276610281722,yes,nxi5fjl41p,Young Girls of Rochefort,Rental Library,
191-BLRZAC-50-001A,Zack Parker's Proxy,Blu-Ray,ACTIVE,1,9260429934842,yes,m4xzh7r31h,Zack Parker's Proxy,Rental Library,
