product_id,title,vendor,status,handle,sku,barcode,qty,tags
9276609167610,Fahrenheit 9/11,DVD,ACTIVE,fahrenheit-9-11,,191-DVDFAH-001A,1,"Documentary, DVD, Formatted, issue:needs_new_barcode, Rental"
9276610117882,Fantasia 2000,DVD,ACTIVE,fantasia-2000,,191-DVDFAN-001A,1,"DVD, Formatted, issue:needs_new_barcode, Kids & Family, Rental"
9276625158394,Far From Home: The Adventures of Yellow Dog,VHS,ACTIVE,far-from-home-the-adventures-of-yellow-dog,,191-VHSFAR-001A,1,"Formatted, issue:needs_new_barcode, Kids & Family, Rental, VHS"
9276610019578,Fear and Loathing in Las Vegas,DVD,ACTIVE,fear-and-loathing-in-las-vegas,,191-DVDFEA-001A,1,"Comedy, DVD, Formatted, issue:held_for_libib_cleanup, issue:needs_new_barcode, Rental"
9276609986810,Federico Fellini's 8 1/2,DVD,ACTIVE,federico-fellinis-8-1-2,,191-DVDFED-001A,1,"Drama, DVD, Formatted, issue:needs_new_barcode, Rental"
9276609593594,Federico Fellini's Amarcord,DVD,ACTIVE,federico-fellinis-amarcord,,191-DVDFDR-001A,1,"Drama, DVD, Formatted, issue:needs_new_barcode, Rental"
9398318956794,Finding Dory,Blu-Ray,ACTIVE,finding-dory-002a,,191-BLRFND-002A,1,"Blu-Ray, Formatted, issue:needs_new_barcode, Kids & Family, Rental"
9266894602490,Finding Dory,Blu-Ray,ACTIVE,finding-dory,,191-BLRFND-50-001A,1,"Blu-Ray, Formatted, issue:needs_new_barcode, Kids & Family, Rental"
9266894405882,Finding Nemo,Blu-Ray,ACTIVE,finding-nemo,,191-BLRFIN-50-001A,1,"Blu-Ray, Formatted, issue:needs_new_barcode, Kids & Family, Rental"
9260429836538,Flesh + Blood,Blu-Ray,ACTIVE,flesh-blood,,191-BLRFLE-50-001A,0,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9258984341754,Forgetting Sarah Marshall,Blu-Ray,ACTIVE,forgetting-sarah-marshall,,191-BLRFOR-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9276651831546,Forrest Gump,VHS,ACTIVE,forrest-gump,,191-VHSFOR-001A,1,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9260363809018,Francesca,Blu-Ray,ACTIVE,francesca,,191-BLRFRA-50-001A,0,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9276608741626,Freaky Friday,DVD,ACTIVE,freaky-friday,,191-DVDFRE-001A,0,"DVD, Formatted, issue:needs_new_barcode, Kids & Family, Rental"
9276610969850,Furious 7,Blu-Ray,ACTIVE,furious-7,,191-BLRFUR-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9258983358714,Game Night,Blu-Ray,ACTIVE,game-night,,191-BLRGMN-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9260447269114,Gangster Squad,Blu-Ray,ACTIVE,gangster-squad,,191-BLRGAN-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9276609888506,Get Out,Blu-Ray,ACTIVE,get-out,,191-BLRGET-001A,1,"Blu-Ray, Formatted, Horror, issue:held_for_libib_cleanup, issue:needs_new_barcode, Rental"
9270291136762,Get Out of My Room,VHS,ACTIVE,get-out-of-my-room,,191-VHSGTT-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9266911576314,God Is a Bullet,Blu-Ray,ACTIVE,god-is-a-bullet,,191-BLRGOD-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9266894569722,Goosebumps,Blu-Ray,ACTIVE,goosebumps,,191-BLRGOO-50-001A,1,"Blu-Ray, Formatted, issue:needs_new_barcode, Kids & Family, Rental"
9276612411642,Graduate,DVD,ACTIVE,graduate,,191-DVDGRA-001A,1,"Drama, DVD, Formatted, issue:needs_new_barcode, Rental"
9249544536314,Grease,VHS,ACTIVE,grease,,191-VHSGRE-50-001A,1,"Formatted, issue:needs_new_barcode, Musical, Rental, VHS"
9276611428602,Great Gatsby,Blu-Ray,ACTIVE,great-gatsby,,191-BLRGRE-001A,0,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9266894012666,Gridiron Gang,Blu-Ray,ACTIVE,gridiron-gang,,191-BLRGRI-50-001A,1,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9276611756282,Grudge,Blu-Ray,ACTIVE,grudge,,191-BLRGRU-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9260429803770,Gwen and the Book of Sand,Blu-Ray,ACTIVE,gwen-and-the-book-of-sand,,191-BLRGWE-50-001A,1,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9266932547834,Hansel & Gretel: Witch Hunters (Unrated Cut),Blu-Ray,ACTIVE,hansel-gretel-witch-hunters-unrated-cut,,191-BLRHAN-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9276609429754,Herbie: Fully Loaded,DVD,ACTIVE,herbie-fully-loaded,,191-WALHER-001A,1,"DVD, Formatted, issue:held_for_libib_cleanup, issue:needs_new_barcode, Kids & Family, Rental"
9260447301882,Hit & Run,Blu-Ray,ACTIVE,hit-run,,191-BLRHIT-50-001A,0,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9258868146426,Hobo With A Shotgun (Collector's Edition),Blu-Ray,ACTIVE,hobo-with-a-shotgun-collectors-edition,,191-BLRHOB-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9276625289466,Homeward Bound II: Lost in San Francisco,VHS,ACTIVE,homeward-bound-ii-lost-in-san-francisco,,191-VHSHOM-001A,1,"Formatted, issue:needs_new_barcode, Kids & Family, Rental, VHS"
9258983784698,Horrible Bosses 2 (Extended Cut),Blu-Ray,ACTIVE,horrible-bosses-2-extended-cut,,191-BLRHOR-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9258983850234,Horrible Bosses: Totally Inappropriate Edition,Blu-Ray,ACTIVE,horrible-bosses-totally-inappropriate-edition,,191-BLRHRR-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9260363940090,Hostel,Blu-Ray,ACTIVE,hostel,,191-BLCHOS-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9260363710714,Hostel Part II (Unseen Edition),Blu-Ray,ACTIVE,hostel-part-ii-unseen-edition,,191-BLRHOS-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9249544438010,Housesitter,VHS,ACTIVE,housesitter,,191-VHSHOU-50-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9249544372474,How To Kill Your Neighbor's Dog,VHS,ACTIVE,how-to-kill-your-neighbors-dog,,191-VHSHOW-50-002A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9276612608250,Hugo,Blu-Ray,ACTIVE,hugo,,191-BLRHUO-001A,1,"Blu-Ray, Formatted, issue:needs_new_barcode, Kids & Family, Rental"
9260438257914,Hugo Mask Special! Horrible Full Head Mask With Hair!,Blu-Ray,ACTIVE,hugo-mask-special-horrible-full-head-mask-with-hair,,191-BLRHUG-50-001A,1,"Blu-Ray, Formatted, Horror, Rental"
9258827219194,I Am Legend,Blu-Ray,ACTIVE,i-am-legend,,191-BLRIAM-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9258984145146,"I Love You, Man",Blu-Ray,ACTIVE,i-love-you-man,,191-BLRILO-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9260429607162,IT,Blu-Ray,ACTIVE,it,,191-BLRIT2-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9260430000378,In The Mouth of Madness (Collector's Edition),Blu-Ray,DRAFT,in-the-mouth-of-madness-collectors-edition,,191-BLRNTH-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9260429639930,In the Line of Duty I-IV,Blu-Ray,ACTIVE,in-the-line-of-duty-i-iv,,191-BLRINT-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9276610707706,Inferno,Blu-Ray,ACTIVE,inferno,,191-BLRINF-001A,0,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9260364955898,Jay & Silent Bob Reboot,Blu-Ray,ACTIVE,jay-silent-bob-reboot,,191-BLCJAY-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9266913083642,Jeepers Creepers Reborn,Blu-Ray,ACTIVE,jeepers-creepers-reborn,,191-BLRJEE-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9276613558522,John Wick: Chapter 3 - Parabellum,4K,ACTIVE,john-wick-chapter-3-parabellum,,191-BLRJOH-001A,1,"4K, Action, Formatted, issue:needs_new_barcode, Rental"
9249544241402,Johnny Suede 1991,VHS,ACTIVE,johnny-suede-1991,,191-VHSJOH-50-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9276610576634,Juno,DVD,ACTIVE,juno,,191-DVDJUN-001A,1,"Comedy, DVD, Formatted, issue:needs_new_barcode, Rental"
9276613427450,Jupiter Ascending,4K,ACTIVE,jupiter-ascending,,191-BLRJUP-001A,1,"4K, Formatted, issue:needs_new_barcode, Rental, Sci-Fi"
9249544306938,K-9 Pi,VHS,ACTIVE,k-9-pi,,191-VHSK9P-50-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
