barcode,n_variants,n_products,product_id,title,vendor,status,qty,tags
71735546,2,2,9297669325050,Beyond the Sea,DVD,ACTIVE,1,"Drama, DVD, Floor Sale, Formatted"
71735546,2,2,9303304110330,Dude Where's My Car,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
71833850,2,2,9297669423354,Bernadette,DVD,ACTIVE,1,"Drama, DVD, Floor Sale, Formatted"
71833850,2,2,9303304175866,Naked in New York,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
71911674,2,2,9301875163386,Braveheart,VHS,ACTIVE,1,"Action, Floor Sale, Formatted, VHS"
71911674,2,2,9328003350778,Abandon,VHS,ACTIVE,1,"Floor Sale, Formatted, Thriller, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
74454522,2,2,9296422994170,Napoleon Dynomite,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS"
74454522,2,2,9307289092346,Godzilla (2014),Blu-Ray,ACTIVE,1,"Action, Blu-Ray, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
74814970,2,2,9296423354618,Quiet Days in Hollywood,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS"
74814970,2,2,9307289190650,Horrible Bosses,Blu-Ray,ACTIVE,1,"Blu-Ray, Comedy, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
74847738,2,2,9296423387386,Honeymoon Academy,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS"
74847738,2,2,9307289223418,Horrible Bosses 2,Blu-Ray,ACTIVE,1,"Blu-Ray, Comedy, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
74880506,2,2,9296423420154,Does This Mean We're Married,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS"
74880506,2,2,9307289256186,Hop,Blu-Ray,ACTIVE,1,"Blu-Ray, Floor Sale, Formatted, Kids & Family, issue:duplicate_barcode, issue:needs_new_barcode"
74913274,2,2,9296423452922,High School High,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS"
74913274,2,2,9307289288954,Horton Hears a Who! / Robots / Space Chimps,Blu-Ray,ACTIVE,1,"Blu-Ray, Floor Sale, Formatted, Kids & Family, issue:duplicate_barcode, issue:needs_new_barcode"
74946042,2,2,9296423485690,Radioland Murders,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS"
74946042,2,2,9307289321722,Joker,4K,ACTIVE,0,"4K, Action, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
74978810,2,2,9296423518458,Pure Luck,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS"
74978810,2,2,9307289354490,Indiana Jones: The Complete Adventures,Blu-Ray,ACTIVE,1,"Action, Blu-Ray, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
