Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sweet-dreams-vhs-rental-drama,Sweet Dreams,,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78873082,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
another-woman-vhs-rental-drama,Another Woman,,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78742010,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
the-last-of-the-mohicans-vhs-rental-action,The Last of the Mohicans,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78709242,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
mission-impossible-vhs-rental-action,Mission Impossible,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78676474,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
contact-vhs-rental-sci-fi,Contact,,VHS,Media > Videos,,"Formatted, Rental, Sci-Fi, VHS",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78479866,,,,false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active
the-age-of-innocence-vhs-rental-drama,The Age of Innocence,,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78184954,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
ever-after-vhs-rental-drama,Ever After,,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26627322,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
les-miserables-in-concert-vhs-rental-musical,Les Miserables in Concert,,VHS,Media > Videos,,"Formatted, Musical, Rental, VHS",true,Genre,Musical,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26594554,,,,false,,,,,,,,,,,,,musical,,,,,,,,,,,,,,,lb,,,active
double-edge-vhs-rental-action,Double Edge,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,81870586,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
hard-justice-vhs-rental-action,Hard Justice,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,81608442,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
morituri-vhs-rental-thriller,Morituri,,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,81247994,,,,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active
crocodile-dundee-vhs-rental-comedy,Crocodile Dundee,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,80920314,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
outrage-vhs-rental-thriller,Outrage,,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,80527098,,,,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active
