call_number,barcode_status,content_status,message
191-VHSSTN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021705' | content: changed: poster
191-VHSST3-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021712' | content: changed: poster
191-VHSSTL-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021729' | content: changed: poster
191-VHSSTM-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021736' | content: changed: poster
191-VHSTLN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021743' | content: changed: poster
191-BLRTRM-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021750' | content: changed: poster
191-BLRTEX-001A,error,error,2 items matched this call number -- ambiguous
191-DVDTHV-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021774' | content: changed: poster
27502074,updated,updated,barcode: ok | content: changed: poster
191-DVDTHP-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021798' | content: changed: poster
27633146,updated,updated,barcode: ok | content: changed: poster
191-BLRTHY-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021811' | content: changed: poster
191-DVDTHG-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021828' | content: changed: poster
26945018,updated,updated,barcode: ok | content: changed: poster
191-BLRTHM-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021842' | content: changed: poster
27207162,updated,updated,barcode: ok | content: changed: poster
191-UNKTHE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021866' | content: changed: poster
191-VHSTHI-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021873' | content: changed: poster
191-VHSTIL-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021880' | content: changed: poster
191-DVDTOM-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021897' | content: changed: poster
191-BLRTOP-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021903' | content: changed: poster
191-VHSTR3-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021910' | content: changed: poster
191-BLRTRD-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021927' | content: changed: poster
191-VHSTRL-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021934' | content: changed: poster
191-VHSTRI-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021941' | content: changed: poster
191-BLRTRU-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021958' | content: changed: poster
191-DVDTUP-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021965' | content: changed: poster
191-VHSTWI-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021972' | content: changed: poster
191-BLRUNB-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021989' | content: changed: poster
191-BLRUNC-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021996' | content: changed: poster
191-DVDUND-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022009' | content: changed: poster
191-BLRUNL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022016' | content: changed: poster
191-VHSUPY-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022023' | content: changed: poster
191-DVDVAN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022030' | content: changed: poster
191-BLRVEN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022047' | content: changed: poster
191-VHSWHN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022054' | content: changed: poster
191-DVDWHI-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022061' | content: changed: poster
191-VHSWHT-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022078' | content: changed: poster
191-VHSWHE-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022085' | content: changed: poster
191-VHSWHS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022092' | content: changed: poster
191-BLYWIN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022108' | content: changed: poster
191-BLRWRT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022115' | content: changed: poster
191-DVDX2X-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022122' | content: changed: poster
191-DVDYNG-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022139' | content: changed: poster
